ResultTable(results=
                             reconstructor             test_data                     measure_values                                                                                     misc
task_ind sub_task_ind                                                                                                                                                                       
         60            TVAdamReconstructor  validation part 0:35  mean: {psnr: 24.88, ssim: 0.7265}   {'hp_choice': {'gamma': 0.00599484250319, 'iterations': 4000, 'loss_function': 'mse'}}
         61            TVAdamReconstructor  validation part 0:35  mean: {psnr: 24.88, ssim: 0.7264}   {'hp_choice': {'gamma': 0.00599484250319, 'iterations': 4500, 'loss_function': 'mse'}}
         62            TVAdamReconstructor  validation part 0:35  mean: {psnr: 24.88, ssim: 0.7264}   {'hp_choice': {'gamma': 0.00599484250319, 'iterations': 5000, 'loss_function': 'mse'}}
         63            TVAdamReconstructor  validation part 0:35  mean: {psnr: 23.77, ssim: 0.6529}               {'hp_choice': {'gamma': 0.01, 'iterations': 2000, 'loss_function': 'mse'}}
         64            TVAdamReconstructor  validation part 0:35   mean: {psnr: 23.77, ssim: 0.653}               {'hp_choice': {'gamma': 0.01, 'iterations': 2500, 'loss_function': 'mse'}}
         65            TVAdamReconstructor  validation part 0:35   mean: {psnr: 23.77, ssim: 0.653}               {'hp_choice': {'gamma': 0.01, 'iterations': 3000, 'loss_function': 'mse'}}
         66            TVAdamReconstructor  validation part 0:35   mean: {psnr: 23.77, ssim: 0.653}               {'hp_choice': {'gamma': 0.01, 'iterations': 3500, 'loss_function': 'mse'}}
         67            TVAdamReconstructor  validation part 0:35  mean: {psnr: 23.77, ssim: 0.6529}               {'hp_choice': {'gamma': 0.01, 'iterations': 4000, 'loss_function': 'mse'}}
         68            TVAdamReconstructor  validation part 0:35  mean: {psnr: 23.77, ssim: 0.6529}               {'hp_choice': {'gamma': 0.01, 'iterations': 4500, 'loss_function': 'mse'}}
         69            TVAdamReconstructor  validation part 0:35  mean: {psnr: 23.77, ssim: 0.6529}               {'hp_choice': {'gamma': 0.01, 'iterations': 5000, 'loss_function': 'mse'}}
)
